pinder_release,cohort,id,pdb_id,cluster_id,cluster_id_R,cluster_id_L,uniprot_R,uniprot_L
2024-02,PINDER-AF2,8dye__A1_P31040--8dye__B1_Q5VUM1,8dye,cluster_23441_392,cluster_392,cluster_23441,P31040,Q5VUM1
2024-02,PINDER-AF2,7vw1__B1_V5J1S8--7vw1__A1_V5J1S8,7vw1,cluster_25736_25736,cluster_25736,cluster_25736,V5J1S8,V5J1S8
2024-02,PINDER-AF2,8ai1__B1_Q45595--8ai1__A1_Q45595,8ai1,cluster_31219_31219,cluster_31219,cluster_31219,Q45595,Q45595
2024-02,PINDER-AF2,7xn2__A1_Q8YR38--7xn2__A2_Q8YR38,7xn2,cluster_35124_35124,cluster_35124,cluster_35124,Q8YR38,Q8YR38
2024-02,PINDER-AF2,7zoo__B1_A0A979GQH9--7zoo__A1_A0A979GQH9,7zoo,cluster_32633_32633,cluster_32633,cluster_32633,A0A979GQH9,A0A979GQH9
2024-02,PINDER-AF2,7y6b__A1_A0A411GZY8--7y6b__B1_A0A411H025,7y6b,cluster_1964_1965,cluster_1964,cluster_1965,A0A411GZY8,A0A411H025
2024-02,PINDER-AF2,7yfj__A2_Q15007--7yfj__B1_Q15007,7yfj,cluster_32230_32231,cluster_32230,cluster_32231,Q15007,Q15007
2024-02,PINDER-AF2,7fch__A1_O95256--7fch__C2_O95256,7fch,cluster_24523_24523,cluster_24523,cluster_24523,O95256,O95256
2024-02,PINDER-AF2,8q4k__A1_O51180--8q4k__B1_O51180,8q4k,cluster_36837_36837,cluster_36837,cluster_36837,O51180,O51180
2024-02,PINDER-AF2,8owi__A1_Q02224--8owi__B1_Q02224,8owi,cluster_16524_16525,cluster_16524,cluster_16525,Q02224,Q02224
2024-02,PINDER-AF2,8gy0__A1_A0A8H4VHP2--8gy0__B1_A0A8H4VHP2,8gy0,cluster_17857_17857,cluster_17857,cluster_17857,A0A8H4VHP2,A0A8H4VHP2
2024-02,PINDER-AF2,7x4b__A1_A0A2D0TCG3--7x4b__B1_A0A2D0TCG3,7x4b,cluster_7334_7334,cluster_7334,cluster_7334,A0A2D0TCG3,A0A2D0TCG3
2024-02,PINDER-AF2,8gyz__B1_Q93ZE2--8gyz__A1_Q93ZE2,8gyz,cluster_17866_17866,cluster_17866,cluster_17866,Q93ZE2,Q93ZE2
2024-02,PINDER-AF2,7wh0__A1_Q9U2E4--7wh0__B2_Q9U2E4,7wh0,cluster_8218_8218,cluster_8218,cluster_8218,Q9U2E4,Q9U2E4
2024-02,PINDER-AF2,8bbt__A1_A0A0B4VFQ3--8bbt__A2_A0A0B4VFQ3,8bbt,cluster_6768_6768,cluster_6768,cluster_6768,A0A0B4VFQ3,A0A0B4VFQ3
2024-02,PINDER-AF2,7qlr__A1_A0A1J1J928--7qlr__D2_A0A1J1J928,7qlr,cluster_37944_37944,cluster_37944,cluster_37944,A0A1J1J928,A0A1J1J928
2024-02,PINDER-AF2,8gy8__A1_Q8TZT0--8gy8__B1_Q8TZT0,8gy8,cluster_13819_13819,cluster_13819,cluster_13819,Q8TZT0,Q8TZT0
2024-02,PINDER-AF2,8idq__A1_A0A0B8MZ29--8idq__C1_A0A0B8MZ29,8idq,cluster_35404_35404,cluster_35404,cluster_35404,A0A0B8MZ29,A0A0B8MZ29
2024-02,PINDER-AF2,7th0__A1_P31667--7th0__A2_P31667,7th0,cluster_37257_37257,cluster_37257,cluster_37257,P31667,P31667
2024-02,PINDER-AF2,8hci__B1_A0A8T8BZJ9--8hci__A1_A0A8T8BZN3,8hci,cluster_19469_19470,cluster_19469,cluster_19470,A0A8T8BZJ9,A0A8T8BZN3
